Id,WindowId,FileName,AriaOpera,AriaLabel,AriaName,Act,Scene,ActAndScene,Year,Decade,Composer,Character,Gender,Harmony_Analysis_Available
110,0,/home/federico/galuppi-perez/data/corpus/xml/Art04M-Per_pieta_bell-1749-Perez[1.05][1722].xml,Art,Art04M,Per_pieta_bell,1,05,105,1749,1740s,Davide Perez,Artaserse,Male,1
111,0,/home/federico/galuppi-perez/data/corpus/xml/Dem01M-O_piu-1752-Perez[1.01][0775].xml,Dem,Dem01M,O_piu,1,01,101,1752,1750s,Davide Perez,Matusio,Male,1
112,0,/home/federico/galuppi-perez/data/corpus/xml/Dem01M-O_piu-1758-Galuppi[1.01][1168].xml,Dem,Dem01M,O_piu,1,01,101,1758,1750s,Baldassare Galuppi,Matusio,Male,1
113,0,/home/federico/galuppi-perez/data/corpus/xml/Dem02M-In_te-1752-Perez[1.02][0776].xml,Dem,Dem02M,In_te,1,02,102,1752,1750s,Davide Perez,Dircea,Male,1
114,0,/home/federico/galuppi-perez/data/corpus/xml/Dem02M-In_te-1758-Galuppi[1.02][1207].xml,Dem,Dem02M,In_te,1,02,102,1758,1750s,Baldassare Galuppi,Dircea,Male,1
115,0,/home/federico/galuppi-perez/data/corpus/xml/Dem03M-Per_lei-1752-Perez[1.03][0777].xml,Dem,Dem03M,Per_lei,1,03,103,1752,1750s,Davide Perez,Demofoonte,Male,1
116,0,/home/federico/galuppi-perez/data/corpus/xml/Dem03M-Per_lei-1758-Galuppi[1.03][1208].xml,Dem,Dem03M,Per_lei,1,03,103,1758,1750s,Baldassare Galuppi,Demofoonte,Male,1
117,0,/home/federico/galuppi-perez/data/corpus/xml/Dem04M-Sperai_vicino-1749-Galuppi[1.04][1241].xml,Dem,Dem04M,Sperai_vicino,1,04,104,1749,1740s,Baldassare Galuppi,Timante,Male,1
118,0,/home/federico/galuppi-perez/data/corpus/xml/Dem04M-Sperai_vicino-1752-Perez[1.05][0779].xml,Dem,Dem04M,Sperai_vicino,1,05,105,1752,1750s,Davide Perez,Timante,Male,1
119,0,/home/federico/galuppi-perez/data/corpus/xml/Dem04M-Sperai_vicino-1758-Galuppi[1.04][1261].xml,Dem,Dem04M,Sperai_vicino,1,04,104,1758,1750s,Baldassare Galuppi,Timante,Male,1
120,0,/home/federico/galuppi-perez/data/corpus/xml/Dem05M-Tintendo_ingrata-1752-Perez[1.06][0780].xml,Dem,Dem05M,Tintendo_ingrata,1,06,106,1752,1750s,Davide Perez,Cherinto,Male,1
121,0,/home/federico/galuppi-perez/data/corpus/xml/Dem05M-Tintendo_ingrata-1758-Galuppi[1.05][1209].xml,Dem,Dem05M,Tintendo_ingrata,1,05,105,1758,1750s,Baldassare Galuppi,Cherinto,Male,1
122,0,/home/federico/galuppi-perez/data/corpus/xml/Dem06M-Non_curo-1752-Perez[1.08][0781].xml,Dem,Dem06M,Non_curo,1,08,108,1752,1750s,Davide Perez,Creusa,Male,1
123,0,/home/federico/galuppi-perez/data/corpus/xml/Dem06M-Non_curo-1758-Galuppi[1.07][1210].xml,Dem,Dem06M,Non_curo,1,07,107,1758,1750s,Baldassare Galuppi,Creusa,Male,1
124,0,/home/federico/galuppi-perez/data/corpus/xml/Dem07M-Il_suo-1749-Galuppi[1.08][1240].xml,Dem,Dem07M,Il_suo,1,08,108,1749,1740s,Baldassare Galuppi,Cherinto,Male,1
125,0,/home/federico/galuppi-perez/data/corpus/xml/Dem07M-Il_suo-1752-Perez[1.09][0782].xml,Dem,Dem07M,Il_suo,1,09,109,1752,1750s,Davide Perez,Cherinto,Male,1
