Id,first_phrase_measure,length_first_phrase
1113,,26.0
1114,,26.0
1115,,26.0
1116,,13.0
1117,4.5,9.5
1118,22.0,17.0
1119,19.0,21.0
1120,14.0,29.0
1121,15.0,16.0
1122,,30.0
1123,11.0,26.0
1124,11.5,16.0
1125,21.0,22.0
1126,17.0,19.0
1127,14.0,28.0
1128,20.0,45.0
1129,16.0,25.5
1130,1.0,44.0
1131,14.0,24.0
1132,24.0,39.0
1133,20.0,19.0
1134,18.0,36.0
1135,2.0,22.0
1136,25.0,29.0
1137,2.0,15.0
1138,27.0,42.0
1139,7.0,11.5
1140,8.0,21.0
1141,12.0,44.0
1142,2.0,27.0
1143,13.0,47.0
1144,24.0,42.0
1145,14.0,26.0
1146,14.5,19.0
1147,1.0,18.0
1148,1.0,31.0
1149,21.0,31.0
1150,18.0,35.0
1151,27.0,41.0
1152,26.0,52.0
1153,14.0,23.0
1154,20.0,45.0
1155,13.0,20.0
1156,18.0,12.0
1157,22.0,23.0
1158,19.0,27.0
1159,3.5,7.5
1160,,13.0
1161,,22.0
1162,5.0,27.0
1163,1.0,18.0
1164,16.0,29.0
1165,24.0,52.0
1166,23.0,37.0
1167,,24.0
1168,29.0,35.0
1169,26.0,46.0
1170,,26.0
1171,13.0,25.0
1172,,46.0
1173,25.0,28.0
1174,21.0,47.0
1175,22.0,44.0
1176,12.0,56.0
1177,18.0,30.0
1178,,21.0
1179,,45.0
1180,33.0,37.0
1181,1.0,28.0
1182,1.0,27.0
1183,1.0,23.0
1184,19.0,28.0
1185,4.0,43.0
1186,,41.0
1187,42.0,5.0
1188,16.0,36.0
1189,19.0,60.0
1190,21.0,30.0
1191,22.0,42.0
1192,24.0,42.0
1193,27.0,55.0
1194,7.0,12.0
1195,28.0,15.0
1196,26.0,51.0
1197,21.0,46.0
1198,20.0,58.0
1199,23.0,42.0
1200,12.0,23.0
1201,,12.0
1202,21.0,41.0
1203,45.0,49.0
1204,24.0,46.0
1205,21.0,27.0
1206,17.0,24.0
1207,24.0,45.0
1208,34.0,59.0
1209,1.0,31.0
1210,30.0,41.0
1211,13.0,48.0
1212,29.0,44.0
1213,6.0,13.5
1214,1.0,24.0
1215,15.0,31.0
1216,,40.0
1217,,25.0
1218,17.0,40.0
1219,11.0,26.0
1220,12.0,16.0
1221,15.0,63.0
1222,26.0,24.0
1223,21.0,43.0
1224,19.0,24.0
1225,19.0,12.0
1226,11.0,20.5
1227,,67.0
1228,1.0,21.0
1229,18.0,28.0
1230,5.0,19.0
1231,,35.0
1232,17.0,22.0
1233,,13.0
1234,8.0,32.0
1235,8.0,11.0
1236,20.0,25.0
1237,28.0,58.0
1238,15.0,30.0
1239,26.0,39.0
1240,20.0,32.0
1241,11.0,30.0
1242,8.0,30.0
1243,,31.0
1244,6.0,19.0
1245,21.0,43.0
1246,29.0,41.0
1247,9.0,16.5
1248,2.5,13.5
1249,19.0,25.0
1250,9.0,10.5
1251,20.0,17.0
1252,22.0,25.0
1253,14.0,19.5
1254,19.0,28.0
1255,7.5,9.0
1256,14.0,16.5
